Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Industry PE,EPS,Promoter holding,Debt to equity,Debtor days,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,ROCE3yr avg,Return on capital employed,OPM,Profit after tax,Sales,Sales growth 3Years,Sales growth 5Years,Profit growth,Profit growth 3Years,Profit growth 5Years,Profit growth 7Years,Profit growth 10Years,Average return on equity 5Years,Average return on equity 3Years,Return on equity,Return over 1year,Return over 3years,Return over 5years,Return on assets,Sales growth,Sales preceding year,Sales growth 7Years,Operating profit preceding year,Net Profit last year,Sales growth 10Years,Average Earnings 5Year,Free cash flow last year,Free cash flow preceding year,Net cash flow preceding year,Free cash flow 3years,Average return on capital employed 3Years,Average return on capital employed 5Years
Dalmia BharatLtd,542216,DALBHARAT,Cement - South India,1288.3,24138.71,21.07,11.7,65.79,55.9,0.31,22.25,595,-5.68,3380,7.27,7.57,8.24,21.54,1145.62,11286,5.97,8.68,-5.29,79.32,118.51,,,5.35,7.31,9.08,-27.89,3.24,,5.39,7.26,10522,,2791,1144,,591.43,181,2558,-11,3734,7.57,6.45
DCB Bank,532772,DCBBANK,Banks - Private Sector,81.9,2547.33,8.86,18.12,9.25,14.86,9.1,0,113.44,45.6,919.92,9.87,7.13,6.71,59.58,287.5,3512.77,4.92,11.09,-14.4,-4.06,7.55,5.99,17.38,9.53,9.06,7.65,-26.38,-29.93,-16.59,0.73,1.58,3458.21,13.79,2222.51,287.5,17.22,306.58,1449.46,-1581.5,-506.53,-33.09,7.13,7.2
Deepak Nitrite,506401,DEEPAKNTR,Chemicals,1853.4,25279.09,23.7,23.06,,45.72,0.09,60.58,267.21,-7.89,1872.35,27.96,41.05,44.57,23.57,1066.64,6802.19,36.07,37.77,37.42,82.28,87.12,53.56,,34.23,40.15,37.52,3.44,87.36,64.56,26.68,56.02,4359.75,26.3,1252.02,1066.64,,543.46,637.69,790.44,6.75,1776.79,41.05,32.77
Delta Corp,532848,DELTACORP,Miscellaneous,191.9,5132.27,71.68,54.6,2.51,33.23,0,1.82,48.11,-3.44,218.32,3.3,6.62,5.61,20.98,71.6,616.13,-8.25,6.27,436.1,-26.33,0.98,26.72,3.65,6.16,4,3.61,4.55,-0.32,3.62,3.27,47.09,418.87,10.83,22.11,66.99,5.38,110.74,98.33,42.86,-34.18,394.03,6.62,9.78
Den Networks,533137,DEN,Entertainment / Electronic Media Software,35.8,1708.46,9.99,50.36,,74.9,0,21.44,49.97,43.43,303.46,-6.98,3.96,6.08,16.42,171.08,1225.6,0.54,1.15,207.92,55.52,24.65,18.1,28.8,1.42,3.31,5.97,-41.41,-11.44,-15.36,4.92,-6.26,1307.4,1.17,249.82,175.95,0.82,30.08,27.01,108.58,-9.01,330.54,3.96,3.07
Dhanuka Agritech,507717,DHANUKA,Pesticides / Agrochemicals - Indian,709,3302.4,15.81,23.65,,70,0.03,69.77,54.4,11.84,318.3,15.51,31.78,31.25,17.83,208.89,1477.78,13.68,10.84,0.47,23.59,11.6,10.17,13.83,22.55,24.18,23.78,-25.95,22.73,-4.35,17.1,6.51,1387.47,9.46,269.27,208.89,10.82,158.78,46.11,218.8,-24.61,416.6,31.78,29.74
Divi's Lab.,532488,DIVISLAB,Pharmaceuticals - Indian - Bulk Drugs,3528.05,93658.64,31.64,20.38,,51.94,0,98.74,894.64,78.21,2518.44,40.84,31.2,35.04,43.33,2960.45,8959.83,21.9,17.13,49.01,29.82,22.77,19.37,18.7,22.4,24.21,28.16,-18.61,31.98,40.48,24.52,28.56,6969.4,16.29,2867.13,2960.45,17,1703.35,1198.6,1036.89,1987.17,2268.58,31.2,29.34
Dixon Technolog.,540699,DIXON,Electronics - Consumer,3609.25,21417.99,112.63,79.48,27.28,34.3,0.47,46.28,62.97,42.27,2952.75,39.96,29.63,25.33,3.54,190.17,10697.08,53.04,34.21,19.04,44.48,31.71,48.9,40.21,23.15,23.94,21.93,-13.85,99.38,,5.34,65.89,6448.17,36.66,292.2,190.17,34.02,118.92,-144.63,2.16,-31.82,-13.22,29.63,29.7
Dr Lal Pathlabs,539524,LALPATHLAB,Healthcare,2077.4,17315.52,50.15,26.8,41.37,55.23,0.35,14.93,61.3,-26.5,485.5,12.65,31.37,29.44,26.89,345.26,2087.41,20.15,18,18.34,20.14,17.41,20.13,22.65,23.95,24.35,25.08,-35.38,24.62,18.34,17.49,32.01,1581.27,17.89,436.45,344.83,19.82,246.39,-27.8,338.98,47.58,516.13,31.37,32.45
Dr Reddy's Labs,500124,DRREDDY,Pharmaceuticals - Indian - Bulk Drugs & Formln,4351.55,72421.13,33.18,23.78,117.35,26.72,0.18,113.11,97,-82.59,5474.9,14.82,13.78,14.53,17.49,2182.5,21545.2,11.73,8.7,11.67,5.67,11.75,-0.7,4.6,11.73,12.29,11.78,-20.2,18.89,10.59,7.75,13.11,19047.5,5.29,3874.1,2182.5,8.18,1781.85,1237.4,2322.7,1285.8,5971.7,13.78,12.5
eClerx Services,532927,ECLERX,Computers - Software - Medium / Small,2118.9,7167.48,17.17,26.37,80.99,53.38,0.1,55.63,118.76,20.35,591.67,25.14,25.43,33.13,30.58,417.4,2160.35,14.73,10.19,56.67,22.47,3.34,8.9,10.06,19.43,19.62,26.29,31.35,32.45,9.93,20.58,38.09,1564.49,12.59,449.53,417.4,16.41,278.87,387.65,325.85,174.46,1012.75,25.43,25.44
Eicher Motors,505200,EICHERMOT,Automobiles - Motorcycles / Mopeds,2712.85,74177.15,44.24,38.23,61.32,49.21,0.01,10.71,610.14,15.97,3193.32,8.6,19.56,18.23,21.09,1676.6,10297.83,1.68,7.92,24.38,-8.7,0.11,16.32,18.91,19.46,15.08,13.94,-1.22,10.5,-1.56,10.9,18.09,8720.35,2.37,1783.23,1676.6,6.12,1803.45,888.34,1176.03,50.91,3214.01,19.56,27.17
Endurance Tech.,540153,ENDURANCE,Auto Ancillaries,1311.95,18454.26,38.11,22.01,,75,0.11,46.92,136.19,-27.29,2078.8,-2.54,17.26,14.59,12.78,484.25,7549.14,0.18,6.2,-7.08,-1.24,8.16,10.33,10.35,17.45,15.88,12.94,-12.38,3.5,8.4,8.35,15.35,6544.39,6.32,1040.22,460.71,7.02,493.14,222.02,310.08,-107.59,996.31,17.26,19.45
Engineers India,532178,ENGINERSIN,Engineering - Turnkey Services,61.6,3462.18,24.81,14.09,,51.32,0,48.37,79.13,4242.93,817.8,-27.75,26.45,25.53,11.81,139.52,2912.78,5.57,14.51,-58.05,-27.65,-15.81,-9.19,-13.82,14.76,14.39,7.93,-26.58,-19.4,-16.49,3.24,-7.36,3144.17,7.63,351.97,139.52,-2.43,329.19,22.84,159.98,43.31,540.9,26.45,25.13
Equitas Sma. Fin,543243,EQUITASBNK,Banks - Private Sector,39.35,4930.19,17.56,18.12,2.24,74.59,6.05,0,119.51,5.88,895.83,9.47,8.48,7.51,36.47,280.73,3459.67,17.88,28.67,-26.93,10.05,21.94,,37.28,8.76,10.14,8.27,-35.01,,,1.14,8.3,3194.41,,1605.98,280.73,88.19,230.26,68.48,1995.27,847.23,2431.22,8.48,8.38
ERIS Lifescience,540596,ERIS,Pharmaceuticals - Indian - Formulations,657.3,8936.52,22.02,24.96,29.88,52.66,0.04,43.62,80.3,17.19,305.95,9.97,25.77,25.01,36,405.79,1347.05,11.11,12.44,15.02,11.89,10.71,24.69,27.09,26.65,23.87,23.29,-6.83,9.7,,20,11.16,1211.86,13.78,430.77,406.11,17.27,326.31,257.99,349.64,-30.39,732.99,25.77,27.19
Escorts,500495,ESCORTS,Automobiles - Tractors,1576.6,20801.76,28.28,25.2,64.63,28.1,0.01,39.97,190.92,-28.42,1878.51,-15.71,19.61,15.42,12.74,735.61,7238.43,4.95,11.79,-15.32,15.85,40.31,33.16,19.72,15.12,14.74,11.35,29.35,39.94,16.3,9.2,3.19,7014.42,8.41,1126.02,736.47,5.85,579.79,-143.6,1013.1,-63.15,1476.51,19.61,20.66
Exide Inds.,500086,EXIDEIND,Auto Ancillaries,146.8,12478,2.86,22.01,,45.99,0.05,31.33,3959.24,1134.6,3522.53,16.49,30.34,49.61,10.94,4356.84,12789.22,-4.58,2.73,442.41,78.01,40.3,32.68,25.59,22.45,26.86,48.8,-23.36,-11.24,-8.13,20.46,-16.39,15296.89,4.38,1590.68,4366.93,9.27,1485.24,99.76,1763.57,10.96,2887.4,30.34,27.63
Federal Bank,500469,FEDERALBNK,Banks - Private Sector,91.7,19289.18,9.79,18.12,9.37,0,11.18,0,587.54,12.72,3686.3,4.85,5.72,5.28,59,1969.79,14381.53,7.32,10.36,18.45,14.72,17.84,9.29,10.09,10.67,11.25,11.94,6.57,-4.44,-4.28,0.97,0.47,14314.08,9.77,8800.57,1969.79,9.93,1489.93,-8061.83,11052.55,7058.43,6575.86,5.72,5.88
Fermenta Biotec.,506414,,Pharmaceuticals - Indian - Bulk Drugs,201,591.56,39.28,20.38,,59.58,0.64,79.76,7.68,74.94,96.16,-3.35,10.62,7.31,15.42,15.06,398.52,-0.41,19.43,-64.7,-50.25,30.27,63.73,0.16,20.8,11.77,4.11,-37.85,-12.55,27.89,2.16,6.07,375.7,15.91,82.85,15.45,12.86,54.21,6.4,7.34,20.52,-20.27,10.62,18.3
Firstsour.Solu.,532809,FSL,Computers - Software - Medium / Small,104.8,7323.01,13.65,26.37,7.69,53.66,0.59,59.21,132.39,17.64,1543.93,5.54,14.93,16.14,16.21,536.53,5921.15,15.67,10.74,17.46,12.69,14.29,12.76,25.38,15.37,15.73,18.4,-35.74,26.8,26.98,10.23,16.6,5077.98,10.02,839.14,537.37,10.14,404.82,649.25,806.02,-53.42,1752.46,14.93,14.73
Fortis Health.,532843,FORTIS,Healthcare,244.25,18439.85,48.77,26.8,,31.17,0.2,32.7,67.97,57.4,1378.1,10.03,5.89,10.87,18.7,378.08,5717.61,8.56,4.57,823.6,65.62,-2.23,25.88,19.34,0.32,2.01,6.15,4.83,23.03,4.99,4.73,41.87,4030.12,5.37,404.45,555.12,8.13,18.68,750.12,273.96,212.01,1059,5.89,5.51
GAIL (India),532155,GAIL,Miscellaneous,149.1,66206.14,5.4,10.49,,51.8,0.14,29.3,3454.24,38.91,27295.24,73.44,19.25,23.32,16.33,12256.07,92769.83,6.78,13.83,99.82,22.26,30.53,21.62,10.66,16.25,17.64,20.9,-8.95,-1.3,0.83,13.83,61.7,57371.91,6.28,7245.04,12256.07,7.72,7861.37,2690.05,3309.43,882.46,5109.43,19.25,19.12
Galaxy Surfact.,540935,GALAXYSURF,Detergents / Intermediates,2877.65,10202.64,38.83,18.52,,70.93,0.27,63.19,98.4,25.06,1052.94,34.39,22.49,19.08,10.87,262.78,3685.71,10.1,11.3,-13.34,11.05,12.22,21.44,,22.77,22.19,18.28,-7.01,36.1,,11.3,32.47,2782.37,10.18,448.83,262.78,,229.51,-149.79,257.77,33.81,282.44,22.49,23.62
Garware Hi Tech,500655,GRWRHITECH,Packaging,692.85,1609.66,9.63,12.21,,60.72,0.12,9.32,45.12,41.89,323.51,12.43,12.26,13.8,18.28,167.18,1302.63,11.18,8.31,33.73,27.79,49.55,38.55,18.5,6.89,8.36,10.21,-24.1,39.86,40.86,8.36,31.71,989.03,5.49,218.77,167.18,5.06,98.08,63.57,138.78,37.69,247.82,12.26,10.29
Gateway Distr.,532622,GDL,Miscellaneous,280.35,3499.77,19,19.11,,32.14,0.46,40.22,48.07,44.16,349.28,11.31,8.28,8.66,27.01,184.23,1364.86,43.93,24.91,211.04,7.75,-0.95,-5.13,-0.36,7.33,7.36,6.67,-9.62,29.18,2.54,3.9,20.98,1292.01,2.2,309.32,94.33,6.95,87.48,268.81,253.22,-52.15,633.6,8.28,8.35
Gati,532345,GATI,Couriers,138.1,1698.2,12.44,25.15,-18.69,51.66,0.58,56.92,-22.38,-1848.64,376.73,-7.36,0.54,1.68,2.31,136.56,1489.94,-7.18,-2.5,445.14,95.98,66.6,18.28,25.83,2.45,0.93,25.17,-4.5,24.65,1.88,11.07,13.37,1314.24,-1.43,27.68,8.87,2.16,16.28,31.48,101.24,8.81,135.52,0.54,4.13
Gillette India,507815,GILLETTE,Personal Care - Multinational,4954.15,16145.57,64.77,59.16,76.5,75,0,35.95,69.31,-34.4,566.52,5.57,45.41,51.04,19.78,249.27,2139.25,6.22,2.75,-23.96,10.04,7.62,29.25,13.56,34.25,32.71,36.44,-15.27,-12.67,0.38,22.56,11.16,1679.06,2.75,359.86,310.38,6.74,256.67,352.99,189.67,90.77,601.37,45.41,49.26
Gland Pharma,543245,GLAND,Pharmaceuticals - Indian - Bulk Drugs,2782.9,45800,37.78,20.38,73.78,58,0,99.43,285.98,9.8,1103.01,24.25,27.07,24.85,34.33,1212.16,4400.71,29.12,24.37,21.58,37.62,23.99,,,19.31,20.39,18.56,-11.6,,,16.92,27.08,3462.88,,1302.26,1212.16,,751.04,269.57,376.58,322.42,1176.32,27.07,26.5
Godrej Agrovet,540743,GODREJAGRO,Food - Processing - Indian,525.55,10098.97,24.35,37.65,20.96,71.64,0.7,41.81,122.29,116.1,2080.75,42.28,17.9,17.96,8.01,414.74,8306.09,11.96,11.08,32.18,18.3,13.67,12.54,,17.58,17.72,19.2,-5.39,1.61,,8.33,32.54,6266.71,14.04,563.89,402.59,,301.88,-388.02,-251,-0.12,-656.77,17.9,19.09
Godrej Consumer,532424,GODREJCP,Personal Care - Indian,749.95,76688.47,42.81,31.47,16.83,63.22,0.15,33.19,363.24,-9.24,2915.82,6.78,18.97,18.53,19.51,1791.34,12276.5,5.98,5.78,2.64,-5.64,6.69,10.22,12.05,22.13,19.04,17.06,-16.63,3.27,3.6,11.79,11.31,11028.62,5.8,2399.26,1783.39,9.72,1739.42,1174.05,1865.77,-78.74,4475.91,18.97,19.57
Godrej Industrie,500164,GODREJIND,Chemicals,466.65,15706.71,22.61,23.06,9.94,67.19,2.04,43.29,227.24,1584.07,4444.87,70.26,9.58,10.13,7.38,694.73,14130.15,9.21,11.05,121.03,12.31,23.3,14.01,11.93,8.53,7.96,9.47,-15.68,-0.55,-5.35,3.36,51.39,9333.51,6.49,313.84,653.73,9.81,446.65,-2256.11,-1399.26,-47.21,-3644.42,9.58,9.81
Godrej Propert.,533150,GODREJPROP,Construction,1313.4,36512.57,104.16,24.85,12.68,58.43,0.6,38.34,260.47,235.02,1330.64,207.56,4.39,5.12,-3.05,350.55,1824.88,-13.48,2.89,258.15,17.87,12.4,12.49,16.02,2.45,1.87,4.13,-7.62,13.79,20.89,2.06,138.57,764.92,-0.14,-449.43,352.37,9.01,108.52,-591.95,-796.53,270.68,-1683.26,4.39,4.62
Granules India,532482,GRANULES,Pharmaceuticals - Indian - Bulk Drugs,273.8,6790.4,16.45,20.38,22.18,41.98,0.43,89.67,111,-12.99,1029.97,28.86,19.89,17.31,19.18,412.76,3764.92,18.21,21.7,-24.92,20.37,20.28,24.1,30.01,19.17,21.04,17.34,-17.59,37.75,14.2,10.04,16.29,3237.54,16.51,855.62,412.76,19.13,329.48,-64.68,161.47,-144.09,388.68,19.89,17.79
Graphite India,509488,GRAPHITE,Electrodes - Graphites,428.25,8366.96,16.57,12.91,,65.34,0.09,65.14,95,48.44,844,49.38,5.12,13.76,15.17,505,3026,-27.25,15.57,1749.79,-47.2,48.57,38.12,10.01,24.21,3.65,10.64,-42.07,0.75,29.38,8.54,54.58,1957.62,8.49,-215.17,505,4.7,996.49,-577,509.66,-133.89,140.98,5.12,33.47
Grasim Inds,500300,GRASIM,Textiles - Manmade,1326.5,87322.89,11.51,6.87,65.42,42.76,0.98,20.71,2777.15,61.91,28811.39,18.07,11.27,12.26,21.35,7589.13,95701.13,7.42,21.55,73.93,44.37,19.46,24.88,12.07,7.68,9,10.75,-11.01,14.3,8.05,4.05,36.79,69963.35,17.08,12194.4,7549.78,14.25,4472.5,-1467.47,11148.18,-446.32,21318.77,11.27,11.12
Gufic BioScience,509079,GUFICBIO,Pharmaceuticals - Indian - Bulk Drugs & Formln,221.6,2148.29,22.42,23.78,5.68,75.48,0.21,70.99,20.26,57.42,162.19,22.94,33.36,46.93,18.7,95.84,779.16,30.48,26.02,116.78,63.54,60.42,56.54,51.25,34.2,34.26,43.31,18.57,43.59,24.97,20.98,59.76,487.7,26.8,83.92,95.84,25.38,40.05,15.71,74.85,1.94,97.83,33.36,32.72
Gujarat Gas,539336,GUJGASLTD,Miscellaneous,483.4,33276.78,25.67,23.2,,60.89,0.11,20.63,444.39,30.17,4669.39,35.97,31.13,30.37,12.62,1296.3,16456.22,28.51,26.44,1.25,44.42,41.67,16.35,,28.97,32.15,25.56,-19.94,37.74,24.75,14.35,67,9854.25,8.99,2108.78,1287.37,,900.88,295.47,904,-272.78,2023.83,31.13,26.58
Hatsun Agro,531531,HATSUN,Food - Processing - Indian,887.6,19134.15,87.81,45.39,,74.26,1.75,0.45,25.19,-55.92,1626.26,4.04,15.22,13.71,10.85,217.91,6370.36,10.2,8.7,-12.17,22.09,10.14,28.83,23.9,20.6,20.06,20.46,-4.21,18.2,15.47,6.55,14.37,5569.74,11.72,781.59,217.91,14.79,157.59,576.38,105.13,-6.62,693.52,15.22,14.93
Havells India,517354,HAVELLS,Electric Equipment,1123.45,70385.04,58.83,22.99,19.1,59.47,0.08,20.07,352.48,16.01,4426.26,32.55,26.45,27.23,12.63,1196.47,13938.48,11.43,17.86,19.21,14.81,16.1,17.52,12.26,19.92,20.16,21.41,10.46,12.84,17.61,12.35,33.29,10457.3,7.38,1589.19,1196.47,8.01,878.77,1475.07,537.66,86.92,2480.2,26.45,26.94
Hawkins Cookers,508486,HAWKINCOOK,Domestic Appliances,5263.95,2784.63,33.19,50.18,158.65,56.03,0.2,20.13,21.37,-10.85,271.83,11.68,55.92,50.44,12.5,83.89,958.01,13.64,13.35,4.03,15.66,12.09,14.7,10.8,48.17,49.05,42.93,-12.31,21.23,12.22,20.93,24.67,768.46,10.75,110.8,83.89,11.07,67.98,-72.04,175.05,29.39,158.03,55.92,57.02
HBL Power System,517271,HBLPOWER,Dry Cells,94.7,2625.04,30.66,33.18,,58.97,0.07,86.41,33.44,171.8,373.94,24.74,7.83,13.29,11.24,85.61,1236.21,-0.79,-2.66,400.35,53.24,18.4,17.83,15.21,4.82,5.3,10.39,101.7,57.58,17.69,7.89,35.54,912.04,-1.24,67.37,93.9,-2.32,37.28,41.11,85.7,-14.45,266.44,7.83,7.8
HCL Technologies,532281,HCLTECH,Computers - Software - Large,1015.35,275531.99,20.41,26.34,,60.72,0.1,65.95,3593,226.04,22597,15.05,26.17,25.65,23.97,13499,85651,12.33,12.48,22.79,10.54,9.51,11.19,23.45,22.86,21.77,22.16,3.25,22.37,18.6,15.45,13.63,75379,15.03,20048,13499,18.47,10807.96,15345,17865,2761,44740,26.17,27.54
HDFC AMC,541729,HDFCAMC,Finance & Investments,1868.35,39851.94,28.61,25.9,65.32,68.81,0,11.2,343.55,8.69,516.28,2.65,40.32,36.17,78.78,1393.11,2428.72,5.39,9.14,5.08,14.39,20.42,,,31.94,30.38,27.03,-39.59,0.12,,25.39,10.7,2194.02,,1805.59,1393.13,,1124.64,1243.56,1073.74,-24.96,3572.37,40.32,43.83
HDFC Bank,500180,HDFCBANK,Banks - Private Sector,1351.1,750130.63,19.71,18.12,68.62,25.78,7.2,0,10443.01,23.82,35574.19,9.1,6.62,6.36,57.16,38052.75,135936.41,8.93,13.16,19.66,19.48,20.06,19.9,21.91,17.23,17.1,18.14,-9.1,3.64,10.12,2.12,5.74,128552.39,15.14,76095.85,38052.75,17.04,27582.21,-14175.9,40795.59,33332.41,8133.68,6.62,6.92
HDFC Life Insur.,540777,HDFCLIFE,Finance & Investments,593.1,125326.39,103.77,75.77,5.72,51.53,0.04,0,357.52,12.45,15834.39,-17.33,16.56,10.78,1.1,1207.69,65401.78,19.46,16.37,-11.21,-1.84,6.24,6.34,16.2,17.62,14.86,10.01,-13.11,10.39,,0.62,-8.5,71477.43,13.35,1236.55,1207.69,20.14,1249.77,5485.83,9643.76,1386.05,22463.29,16.56,19.44
Hero Motocorp,500182,HEROMOTOCO,Automobiles - Motorcycles / Mopeds,2601.95,51991.81,22.44,38.23,115.95,34.75,0.04,26.66,611.34,-30.6,7496.55,-13.73,23.35,19.17,10.98,2316.88,29551.28,-4.54,0.65,-17.05,-11.57,-7.67,0.39,,22.15,18.37,14.82,-13.39,-1.57,-7.16,10.22,-4.55,30959.19,1.01,4057.62,2316.88,,3012.64,1544.86,3536.61,-30.69,9311.8,23.35,29.73
High Energy Bat.,504176,,Electric Equipment,1329.75,238.03,13.27,22.99,,40.97,0.44,90.39,4.75,-7.59,25.65,10.37,35.73,36.36,37.05,17.94,79.55,19.5,11.01,-2.13,244.18,86.99,21.57,47.03,33.08,40.72,36.75,5.16,91.96,30.08,18.57,2.21,77.83,13.59,30.11,17.95,3.57,9.12,15.59,8.44,5.5,34.78,35.73,28.32
Hikal,524735,HIKAL,Pharmaceuticals - Indian - Bulk Drugs,267.8,3301.99,20.57,20.38,,68.77,0.63,82.24,20.71,-59.33,502.35,-5.65,14.98,15.2,17.53,160.51,1942.72,6.92,13.89,20.57,15.9,17.16,21.78,10.25,14.18,14.59,16.04,-42.94,17.37,14.36,7.78,12.92,1720.44,12.13,322.89,160.51,10.62,113.75,20.69,71.42,-24.05,219.05,14.98,14.65
Himatsing. Seide,514043,HIMATSEIDE,Textiles - Products,113.35,1116.04,7.93,23.77,,47.57,1.99,45.79,8.04,-78.6,764.78,2.51,7.14,9.43,16.66,140.82,3183.95,6.75,8.29,363.91,-9.93,-4.27,6.44,15.76,7.66,2.71,10.11,-34.71,-12.05,-19.53,2.62,40.99,2258.32,7.31,290.42,140.82,8.34,100.95,-79.74,448.59,20.11,563.21,7.14,9.06
Hind. Unilever,500696,HINDUNILVR,Personal Care - Multinational,2199.9,516886.58,58,59.16,34.03,61.9,0.02,15.56,2304,4.05,13767,10.73,37.78,24.35,24.51,8911.89,52446,10.09,9.6,9.01,12.82,15.65,13.44,12.99,35.79,28.42,18.43,-7.04,6,14.88,12.82,11.52,47028,7.33,11625,8879,8.39,7082.94,7995,5097,-1374,19905,37.78,48.34
Honeywell Auto,517174,HONAUT,Electronics - Components,32697,28904.15,85.23,35.73,383.57,75,0.02,83.58,72.67,-30.14,667.98,-0.7,24.71,16.7,14.69,339.13,2948.32,-2.44,4.11,-26.28,-1.85,14.82,13.87,12.22,19.15,18.31,12.52,-19.82,8.24,22.73,8.52,-3.1,3042.78,2.96,591.91,339.13,6.22,380.39,252.76,317.11,-32.16,840.76,24.71,27.07
Huhtamaki India,509820,HUHTAMAKI,Packaging,165.7,1251.4,75.57,12.21,,67.73,0.57,87.52,24.61,52.2,728.51,15.21,12.3,2.22,4.23,16.56,2721.45,3.48,3.78,-80.48,-57.36,-50.99,-36.93,-26.11,11.06,12.29,0.32,-42.17,-16.2,-7.06,0.14,8.13,2462.7,12.72,234.53,-22.69,12.57,70.36,-103.68,126.02,22.48,251.39,12.3,13.48
I G Petrochems,500199,IGPL,Chemicals,630.5,1941.62,7.28,23.06,,68.74,0.13,67.23,73.64,-26.68,517.21,21.87,24.79,34.64,21.6,266.72,1882.77,13.03,12.66,40.53,29.69,21.21,36.65,34.59,22.34,20.74,28.39,0.71,32.1,8.98,18.41,67.56,1123.62,6.82,298.61,266.72,7.83,149.03,66.12,93.25,12.15,81.02,24.79,28.59
ICICI Bank,532174,ICICIBANK,Banks - Private Sector,720,500714.57,19.94,18.12,36.14,0,7,0,7718.94,57.98,24999.46,12.11,5.89,6.04,13.92,25110.1,95406.87,9.85,9.38,36.55,80.71,19.77,10.8,12.63,10.22,12.74,15.93,13.26,19.87,20.19,1.69,7,89162.66,8.2,-2146.31,25110.1,9.64,13006.09,56368.9,136339.25,19717.61,270424.99,5.89,5.59
ICICI Lombard,540716,ICICIGI,Finance & Investments,1121.05,55043.07,43.31,75.77,25.89,48.04,0.03,0,312.51,-9.6,4020.36,27.12,24.02,19.39,5.45,1271.01,16026.09,12.81,16.34,-13.72,6.57,12.55,11.67,16.76,18.55,18.87,15.29,-26.04,-0.21,,2.82,26.53,12666,20.94,2071.69,1271.01,16.27,1114.88,737.05,1694.99,195.01,5562.52,24.02,24.14
ICICI Pru Life,540133,ICICIPRULI,Finance & Investments,559.05,80357.23,105.84,75.77,5.28,73.41,0.13,0,186.88,198.96,13002.76,-32.56,9.95,8.12,-2.13,759.2,62305.14,14.54,10.5,4.4,-6.88,-14.7,-10.42,-5.84,12.22,8.73,7.14,-3.57,14.67,5.75,0.33,-25.14,83230.75,8.83,-633.31,759.2,16.08,984.47,1736.09,-130906.16,3434.05,-242079.49,9.95,13.8
ICICI Securities,541179,ISEC,Finance & Investments,459.5,14831.01,10.73,25.9,42.85,74.89,3.23,40.89,340.29,3.28,891.67,20.6,31.71,27.04,63.62,1382.6,3434.98,25.8,19.61,29.43,41.21,32.48,,,63.24,62.75,65.03,-26.56,27.5,,12.67,32.82,2586.17,,1592.93,1382.6,,807.79,-2660.68,-1649.69,-232.65,-6211.33,31.71,36.69
IDFC First Bank,539437,IDFCFIRSTB,Banks - Private Sector,34.05,21173.28,160.03,18.12,0.21,36.49,7.5,0,352.31,157.31,4553.64,14.04,5.52,5.02,26.01,132.31,17172.68,12.06,14.89,-71.76,27.43,-33.57,,,-3.93,-4.37,0.74,-43.3,-7.23,-10.09,0.08,7.54,15968.15,,7192.82,132.31,,-653.7,2200.06,13492.27,1610.28,26238.68,5.52,5.5
Indiamart Inter.,542726,INDIAMART,Miscellaneous,4231.4,13021.95,42.03,44.4,101.36,49.52,0.03,0.63,59.7,10.15,200.7,12.12,33.36,22.49,41.57,309.8,750.8,14.72,19.46,8.39,190.86,91.34,42.99,22.38,,25.62,17.66,-41.78,,,11.31,12.89,665.05,23.34,333.34,309.8,20.49,137.52,402.6,326.64,22.1,989.32,33.36,
Indian Energy Ex,540750,IEX,Miscellaneous,182.2,16373.76,54.13,23.2,2.38,0,0.01,74.94,80.88,26.71,111.73,17.59,61.07,64.52,85.91,302.51,425.55,18.76,16.46,44.96,25.51,24.98,20.9,24.38,46.88,47.29,49.47,49.86,54.07,,23.08,34.2,317.11,13.43,259.43,302.51,21.64,190.86,776.89,287.9,32.75,1187.76,61.07,62.76
IndusInd Bank,532187,INDUSINDBK,Banks - Private Sector,913.2,70764.2,15.35,18.12,59.52,15.91,7.09,0,1361.37,55.42,7859.89,5.94,6.69,6.27,47.36,4611.12,30822.44,11.46,16.43,62.62,11.78,9.98,14.43,19.11,11.74,10.56,10.63,-10.04,-16.52,-9.52,1.27,6.29,28999.8,17.97,13002.84,4611.12,19.12,3754.61,16238.5,44352.35,40323.54,48152.59,6.69,7.03
Infosys,500209,INFY,Computers - Software - Large,1476.8,621355.37,28.27,26.34,52.56,13.11,0.07,68.11,5686,12.02,32276,22.67,35.11,37.09,25.89,21980.03,121641,13.74,12.18,13.9,12.88,9.16,8.57,10.19,25.84,27.24,28.98,2.07,25.13,25.1,19.64,21.07,100472,12.5,27889,22110,13.68,17770.03,21724,21117,6065,56537,35.11,33.59
Intellect Design,538835,INTELLECT,Computers - Software - Medium / Small,646.05,8698.93,24.92,26.37,25.94,30.86,0.01,36.79,95.26,18.17,509.41,28.13,17.42,25.27,25.13,349.08,1878.19,9.02,15.5,32.4,38.54,64.18,30.73,,14.39,16.04,21.81,-15.82,34.58,42.29,15.12,25.43,1497.46,17.46,359.75,349.08,,157.23,334.33,349.62,45.02,603.16,17.42,15.51
