Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Industry PE,EPS,Promoter holding,Debt to equity,Debtor days,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,ROCE3yr avg,Return on capital employed,OPM,Profit after tax,Sales,Sales growth 3Years,Sales growth 5Years,Profit growth,Profit growth 3Years,Profit growth 5Years,Profit growth 7Years,Profit growth 10Years,Average return on equity 5Years,Average return on equity 3Years,Return on equity,Return over 1year,Return over 3years,Return over 5years,Return on assets,Sales growth,Sales preceding year,Sales growth 7Years,Operating profit preceding year,Net Profit last year,Sales growth 10Years,Average Earnings 5Year,Free cash flow last year,Free cash flow preceding year,Net cash flow preceding year,Free cash flow 3years,Average return on capital employed 3Years,Average return on capital employed 5Years
SRF,503806,SRF,Chemicals,2304.55,68311.71,36.16,23.06,40.44,50.73,0.43,52.62,605.65,59,3549.42,36.12,19.21,23.97,25.54,1888.92,12433.66,20.54,20.86,57.72,43.32,29.68,31.51,17.53,20.5,22.58,24.5,63.09,58.58,47.76,13.17,48.02,8400.04,15.48,2133.02,1888.92,12,1039.41,288.6,566.99,21.85,787.08,19.21,17.21
St Bk of India,500112,SBIN,Banks - Public Sector,461.85,412183.18,10.17,8.6,,57.59,15.06,0,9549.13,55.89,74607.57,9.66,4.77,4.82,33.23,40532.46,289972.69,4.61,4.7,87.48,165.53,166.64,13.19,10.18,6.23,10.06,14.71,7.51,10.32,10.14,0.88,4.26,278115.48,4.86,85294.79,35373.88,7.02,15417.89,54643.93,86090.91,93391.77,161598.36,4.77,4.64
Sterlite Tech.,532374,STLTECH,Cables - Telephone,170.45,6780.99,104.48,41.97,1.56,54.16,1.77,108.24,-22.44,-118.4,1581.97,7.25,11.88,5.55,9.29,64.9,5754.26,4.19,18.63,-75.37,-51.29,-20.29,40.86,4.39,20.52,13.75,3.29,-37.13,-4.51,1.97,0.77,19.25,4825.18,9.25,807.06,61.95,8.18,337.41,-8.02,184.25,46.39,489.28,11.88,16.77
Stove Kraft,543260,STOVEKRAFT,Domestic Appliances,551.95,1814.14,32.27,50.18,24.91,56.38,0.22,31.06,8.65,-54.97,261.33,11,20.11,18.45,8.35,56.22,1136.36,21.03,18.15,-30.93,209.84,37.27,,49.47,,,16.87,-7.37,,,8.65,32.29,858.96,,113.48,56.22,6.8,25.99,-113.34,46.62,15.06,-83.06,20.11,15.47
Subex,532348,SUBEXLTD,Computers - Software - Medium / Small,27.1,1527.58,72.78,26.37,0.92,0,0.03,105.97,0.61,-96.09,78.8,-18.05,11.43,6.12,10.54,20.99,333.44,-1.43,-1.37,-57.94,-5.91,-19.79,6.77,-4.07,5.35,7.87,3.74,-54.49,58.94,22.19,2.9,-10.37,372.03,-1.08,99.08,20.99,-3.53,35.14,-14.16,82.4,52.51,130.95,11.43,8.33
Sudarshan Chem.,506655,SUDARSCHEM,Dyes And Pigments,446.1,3088.23,23.76,21.44,,35.82,0.99,83.03,44.66,-16.4,627.15,8.78,15.42,12.63,12.49,129.97,2200.81,11.37,11.42,-7.83,17.58,4.71,13.19,14.5,19.19,19.65,16.49,-35.28,11.23,3.79,5.95,18.06,1864.11,8.98,289.99,129.97,10.77,113.58,-131.01,-102.6,7.8,-224.81,15.42,15.98
Sumitomo Chemi.,542920,SUMICHEM,Pesticides / Agrochemicals - Indian,461.05,23013.11,53.06,23.65,,75,0.02,100.45,74.71,37.82,665.02,24.57,32.09,33.61,19.61,433.73,3063.57,11.28,30.85,27.67,36.15,47.75,43.44,45.52,22.83,24.36,25.13,26.64,,,15.31,15.93,2642.65,24.23,487.54,433.73,21.13,263.32,110.73,381.64,120.13,676.32,32.09,31.35
Sun Pharma.Inds.,524715,SUNPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,845.7,202911.76,30.63,23.78,,54.48,0.03,100.02,-2277.25,5.93,9446.76,10.84,14.23,18.42,26.9,6624.18,38654.49,9.97,4.13,18.13,23.77,-0.92,5.43,10.33,10.45,11.85,14.02,24.13,29.28,9.69,9.98,15.39,33498.14,5.04,8469.96,3272.73,17.03,4467.7,7550.11,5097.34,596.42,17752.25,14.23,12.9
Supreme Inds.,509930,SUPREMEIND,Plastics Products,1806,22941.05,23.85,29.86,,48.85,0.01,21.92,323.86,-28.09,2557.09,22.78,34.63,34.62,15.98,961.87,7772.82,11.47,11.74,-1.36,33.87,17.6,19.2,17.43,26.42,28.53,27.43,-19.72,18.59,8.26,20.73,22.31,6355.2,10.11,1284.18,968.45,12.15,647.37,4.38,1025.35,541.62,1329.41,34.63,33.07
Suven Life Scie.,530239,SUVEN,Pharmaceuticals - Indian - Bulk Drugs,76.4,1110.72,,20.38,-5.67,64.98,0.03,40.08,-20.8,3.75,4.22,170.51,-76.91,-138.65,-1033.7,-122,11.84,-65.39,-53.48,-68.95,,,,,-12.31,-75.62,-145.9,-23.18,59.78,43.08,-103.2,-12.17,13.48,-41.76,-79.94,-122,,-39.46,-147.31,-102.32,-5.33,-386.59,-76.91,-8.37
